date,ontario_demand_mw,toronto_demand_mw
2018-01-01 00:00:00,16627,5340
2018-01-01 01:00:00,16084,5211
2018-01-01 02:00:00,15866,5096
2018-01-01 03:00:00,15725,4987
2018-01-01 04:00:00,15470,4926
2018-01-01 05:00:00,15502,4944
2018-01-01 06:00:00,15750,5031
2018-01-01 07:00:00,15887,5142
2018-01-01 08:00:00,15923,5186
2018-01-01 09:00:00,16381,5345
2018-01-01 10:00:00,16672,5504
2018-01-01 11:00:00,16720,5554
2018-01-01 12:00:00,16839,5622
2018-01-01 13:00:00,16772,5651
2018-01-01 14:00:00,16868,5740
2018-01-01 15:00:00,17314,5771
2018-01-01 16:00:00,18081,5976
2018-01-01 17:00:00,19339,6509
2018-01-01 18:00:00,19249,6594
2018-01-01 19:00:00,18960,6439
2018-01-01 20:00:00,18663,6250
2018-01-01 21:00:00,18074,6037
2018-01-01 22:00:00,17218,5735
2018-01-01 23:00:00,16356,5438
2018-01-02 00:00:00,15809,5199
2018-01-02 01:00:00,15465,5037
2018-01-02 02:00:00,15255,4940
2018-01-02 03:00:00,15236,4900
2018-01-02 04:00:00,15275,4903
2018-01-02 05:00:00,15726,5152
2018-01-02 06:00:00,16874,5558
2018-01-02 07:00:00,17897,6052
2018-01-02 08:00:00,18232,6301
2018-01-02 09:00:00,18739,6503
2018-01-02 10:00:00,19030,6666
2018-01-02 11:00:00,19126,6751
2018-01-02 12:00:00,18984,6758
2018-01-02 13:00:00,18873,6723
2018-01-02 14:00:00,18753,6663
2018-01-02 15:00:00,18883,6636
2018-01-02 16:00:00,19396,6747
2018-01-02 17:00:00,20331,7041
2018-01-02 18:00:00,19890,7019
2018-01-02 19:00:00,19937,6917
2018-01-02 20:00:00,19633,6807
2018-01-02 21:00:00,18816,6583
2018-01-02 22:00:00,17792,6224
2018-01-02 23:00:00,16921,5824
2018-01-03 00:00:00,16277,5484
2018-01-03 01:00:00,15835,5284
2018-01-03 02:00:00,15606,5157
2018-01-03 03:00:00,15554,5115
2018-01-03 04:00:00,15656,5110
2018-01-03 05:00:00,16088,5276
2018-01-03 06:00:00,17140,5675
2018-01-03 07:00:00,18148,6183
2018-01-03 08:00:00,18464,6393
2018-01-03 09:00:00,18933,6524
2018-01-03 10:00:00,19013,6588
2018-01-03 11:00:00,18830,6650
2018-01-03 12:00:00,18804,6636
2018-01-03 13:00:00,18848,6674
2018-01-03 14:00:00,18860,6648
