date,demand,temperature
2020-03-17 00:00:00,13654,1.9
2020-03-17 01:00:00,13324,2.1
2020-03-17 02:00:00,13202,2.6
2020-03-17 03:00:00,13298,2.8
2020-03-17 04:00:00,13736,3.0
2020-03-17 05:00:00,14564,3.3
2020-03-17 06:00:00,15571,3.8
2020-03-17 07:00:00,16204,3.9
2020-03-17 08:00:00,16530,4.1
2020-03-17 09:00:00,16648,4.6
2020-03-17 10:00:00,16458,5.8
2020-03-17 11:00:00,16277,5.8
2020-03-17 12:00:00,16008,5.9
2020-03-17 13:00:00,15542,7.0
2020-03-17 14:00:00,14998,7.6
2020-03-17 15:00:00,15104,8.3
2020-03-17 16:00:00,15470,7.5
2020-03-17 17:00:00,15813,7.1
2020-03-17 18:00:00,16544,6.2
2020-03-17 19:00:00,16912,5.4
2020-03-17 20:00:00,16463,4.0
2020-03-17 21:00:00,15658,3.3
2020-03-17 22:00:00,14970,3.3
2020-03-17 23:00:00,14239,2.2
2020-03-18 00:00:00,13773,1.6
2020-03-18 01:00:00,13630,0.7
2020-03-18 02:00:00,13554,0.7
2020-03-18 03:00:00,13541,0.2
2020-03-18 04:00:00,13989,-0.2
2020-03-18 05:00:00,14952,-0.3
2020-03-18 06:00:00,15781,0.4
2020-03-18 07:00:00,15879,0.5
2020-03-18 08:00:00,15819,1.4
2020-03-18 09:00:00,15384,2.1
2020-03-18 10:00:00,15392,2.6
2020-03-18 11:00:00,15702,2.5
2020-03-18 12:00:00,15612,3.2
2020-03-18 13:00:00,15712,3.2
2020-03-18 14:00:00,15765,3.2
2020-03-18 15:00:00,16025,3.5
2020-03-18 16:00:00,16530,3.3
2020-03-18 17:00:00,16707,3.4
2020-03-18 18:00:00,17059,3.7
2020-03-18 19:00:00,16926,4.1
2020-03-18 20:00:00,16221,4.2
2020-03-18 21:00:00,15317,3.5
2020-03-18 22:00:00,14538,3.4
2020-03-18 23:00:00,13824,3.1
2020-03-19 00:00:00,13464,3.1
2020-03-19 01:00:00,13249,3.0
2020-03-19 02:00:00,13121,3.3
2020-03-19 03:00:00,13187,3.4
2020-03-19 04:00:00,13578,3.5
2020-03-19 05:00:00,14566,3.7
2020-03-19 06:00:00,15603,4.3
2020-03-19 07:00:00,15955,4.6
2020-03-19 08:00:00,16138,5.0
2020-03-19 09:00:00,16109,5.4
2020-03-19 10:00:00,16167,5.3
2020-03-19 11:00:00,16168,5.5
2020-03-19 12:00:00,16033,5.5
2020-03-19 13:00:00,15947,5.6
2020-03-19 14:00:00,15845,5.9
2020-03-19 15:00:00,16192,5.6
2020-03-19 16:00:00,16588,5.3
2020-03-19 17:00:00,16437,5.7
2020-03-19 18:00:00,16594,5.5
2020-03-19 19:00:00,16364,5.8
2020-03-19 20:00:00,15636,5.8
2020-03-19 21:00:00,14780,5.5
2020-03-19 22:00:00,13853,5.3
2020-03-19 23:00:00,13208,5.7
2020-03-20 00:00:00,12692,6.4
2020-03-20 01:00:00,12230,6.7
2020-03-20 02:00:00,12101,7.3
2020-03-20 03:00:00,12131,8.2
2020-03-20 04:00:00,12475,8.6
2020-03-20 05:00:00,13312,10.2
2020-03-20 06:00:00,14218,13.1
2020-03-20 07:00:00,14869,13.7
2020-03-20 08:00:00,15160,12.8
2020-03-20 09:00:00,15246,13.8
2020-03-20 10:00:00,15203,13.3
2020-03-20 11:00:00,15413,15.3
2020-03-20 12:00:00,14931,12.5
2020-03-20 13:00:00,14598,11.1
2020-03-20 14:00:00,14421,8.5
2020-03-20 15:00:00,14843,7.0
2020-03-20 16:00:00,15537,6.2
2020-03-20 17:00:00,15876,4.9
2020-03-20 18:00:00,16442,2.3
2020-03-20 19:00:00,16542,0.7
2020-03-20 20:00:00,15992,0.1
2020-03-20 21:00:00,15155,-0.8
2020-03-20 22:00:00,14285,-1.3
2020-03-20 23:00:00,13719,-1.9
2020-03-21 00:00:00,13424,-2.9
2020-03-21 01:00:00,13180,-3.6
2020-03-21 02:00:00,13192,-4.4
2020-03-21 03:00:00,13270,-4.5
2020-03-21 04:00:00,13465,-5.0
2020-03-21 05:00:00,14082,-5.9
2020-03-21 06:00:00,14685,-6.9
2020-03-21 07:00:00,14898,-7.6
2020-03-21 08:00:00,14705,-6.5
2020-03-21 09:00:00,14548,-5.3
2020-03-21 10:00:00,14493,-4.3
2020-03-21 11:00:00,14479,-2.6
2020-03-21 12:00:00,14215,-1.4
2020-03-21 13:00:00,13919,0.0
2020-03-21 14:00:00,13792,-1.0
2020-03-21 15:00:00,14074,-0.8
2020-03-21 16:00:00,15047,-0.8
2020-03-21 17:00:00,15785,-1.5
2020-03-21 18:00:00,16374,-1.1
2020-03-21 19:00:00,16474,-0.9
2020-03-21 20:00:00,15969,-1.3
2020-03-21 21:00:00,15282,-2.2
2020-03-21 22:00:00,14627,-3.2
2020-03-21 23:00:00,14090,-3.7
2020-03-22 00:00:00,13645,-3.9
2020-03-22 01:00:00,13443,-4.4
2020-03-22 02:00:00,13354,-4.4
2020-03-22 03:00:00,13397,-4.6
2020-03-22 04:00:00,13537,-4.5
2020-03-22 05:00:00,13905,-4.3
2020-03-22 06:00:00,14243,-4.5
2020-03-22 07:00:00,14114,-4.1
2020-03-22 08:00:00,13911,-1.9
2020-03-22 09:00:00,13718,-0.9
2020-03-22 10:00:00,13785,-0.8
2020-03-22 11:00:00,14102,-0.9
2020-03-22 12:00:00,13926,-0.5
2020-03-22 13:00:00,13540,0.6
2020-03-22 14:00:00,13626,-0.1
2020-03-22 15:00:00,14393,-0.6
2020-03-22 16:00:00,15305,-0.6
2020-03-22 17:00:00,15824,-0.9
2020-03-22 18:00:00,16373,-0.8
2020-03-22 19:00:00,16434,-0.7
2020-03-22 20:00:00,15599,-0.1
2020-03-22 21:00:00,14790,0.6
2020-03-22 22:00:00,14060,1.4
2020-03-22 23:00:00,13477,1.8
2020-03-23 00:00:00,13178,2.1
2020-03-23 01:00:00,13018,2.2
2020-03-23 02:00:00,13201,2.0
2020-03-23 03:00:00,13345,0.8
2020-03-23 04:00:00,13701,0.5
2020-03-23 05:00:00,14596,0.6
2020-03-23 06:00:00,15573,0.8
2020-03-23 07:00:00,16133,1.1
2020-03-23 08:00:00,16512,1.8
2020-03-23 09:00:00,16716,2.6
2020-03-23 10:00:00,16897,3.0
2020-03-23 11:00:00,16935,2.9
2020-03-23 12:00:00,16734,3.4
2020-03-23 13:00:00,16419,3.8
2020-03-23 14:00:00,16147,3.7
