date,ontario_demand_mw,toronto_demand_mw,temperature
2018-01-01 00:00:00,16627,5340,-16.9
2018-01-01 01:00:00,16084,5211,-16.3
2018-01-01 02:00:00,15866,5096,-17.6
2018-01-01 03:00:00,15725,4987,-18.6
2018-01-01 04:00:00,15470,4926,-17.8
2018-01-01 05:00:00,15502,4944,-17.1
2018-01-01 06:00:00,15750,5031,-15.7
2018-01-01 07:00:00,15887,5142,-13.9
2018-01-01 08:00:00,15923,5186,-13.9
2018-01-01 09:00:00,16381,5345,-13.7
2018-01-01 10:00:00,16672,5504,-11.3
2018-01-01 11:00:00,16720,5554,-9.3
2018-01-01 12:00:00,16839,5622,-9.5
2018-01-01 13:00:00,16772,5651,-8.6
2018-01-01 14:00:00,16868,5740,-8.2
2018-01-01 15:00:00,17314,5771,-8.9
2018-01-01 16:00:00,18081,5976,-9.6
2018-01-01 17:00:00,19339,6509,-10.8
2018-01-01 18:00:00,19249,6594,-11.4
2018-01-01 19:00:00,18960,6439,-12.3
2018-01-01 20:00:00,18663,6250,-12.3
2018-01-01 21:00:00,18074,6037,-12.5
2018-01-01 22:00:00,17218,5735,-13.0
2018-01-01 23:00:00,16356,5438,-12.6
2018-01-02 00:00:00,15809,5199,-13.1
2018-01-02 01:00:00,15465,5037,-12.5
2018-01-02 02:00:00,15255,4940,-10.2
2018-01-02 03:00:00,15236,4900,-10.0
2018-01-02 04:00:00,15275,4903,-9.9
2018-01-02 05:00:00,15726,5152,-9.4
2018-01-02 06:00:00,16874,5558,-8.8
2018-01-02 07:00:00,17897,6052,-8.8
2018-01-02 08:00:00,18232,6301,-9.9
2018-01-02 09:00:00,18739,6503,-10.5
2018-01-02 10:00:00,19030,6666,-10.9
2018-01-02 11:00:00,19126,6751,-9.7
2018-01-02 12:00:00,18984,6758,-8.9
2018-01-02 13:00:00,18873,6723,-7.7
2018-01-02 14:00:00,18753,6663,-7.3
2018-01-02 15:00:00,18883,6636,-7.2
2018-01-02 16:00:00,19396,6747,-7.2
2018-01-02 17:00:00,20331,7041,-8.1
2018-01-02 18:00:00,19890,7019,-9.2
2018-01-02 19:00:00,19937,6917,-9.3
2018-01-02 20:00:00,19633,6807,-9.3
2018-01-02 21:00:00,18816,6583,-9.8
2018-01-02 22:00:00,17792,6224,-10.0
2018-01-02 23:00:00,16921,5824,-10.4
2018-01-03 00:00:00,16277,5484,-10.8
2018-01-03 01:00:00,15835,5284,-10.8
2018-01-03 02:00:00,15606,5157,-10.9
2018-01-03 03:00:00,15554,5115,-11.0
2018-01-03 04:00:00,15656,5110,-10.3
2018-01-03 05:00:00,16088,5276,-9.8
2018-01-03 06:00:00,17140,5675,-9.4
2018-01-03 07:00:00,18148,6183,-8.9
2018-01-03 08:00:00,18464,6393,-9.5
2018-01-03 09:00:00,18933,6524,-8.8
2018-01-03 10:00:00,19013,6588,-7.2
2018-01-03 11:00:00,18830,6650,-6.8
2018-01-03 12:00:00,18804,6636,-6.3
2018-01-03 13:00:00,18848,6674,-5.8
2018-01-03 14:00:00,18860,6648,-5.6
2018-01-03 15:00:00,19119,6678,-5.6
2018-01-03 16:00:00,19471,6787,-5.5
2018-01-03 17:00:00,20380,7044,-5.6
2018-01-03 18:00:00,20108,7034,-6.2
2018-01-03 19:00:00,20005,6949,-6.5
2018-01-03 20:00:00,19754,6822,-7.0
2018-01-03 21:00:00,19002,6586,-7.9
2018-01-03 22:00:00,18102,6217,-8.0
2018-01-03 23:00:00,16963,5783,-8.2
2018-01-04 00:00:00,16223,5425,-8.0
2018-01-04 01:00:00,15787,5218,-7.9
2018-01-04 02:00:00,15467,5109,-8.2
2018-01-04 03:00:00,15185,5043,-8.4
2018-01-04 04:00:00,15412,5044,-8.0
2018-01-04 05:00:00,15902,5214,-8.0
2018-01-04 06:00:00,17158,5613,-7.8
2018-01-04 07:00:00,18198,6085,-9.3
2018-01-04 08:00:00,18537,6368,-10.4
2018-01-04 09:00:00,18760,6524,-11.3
2018-01-04 10:00:00,18699,6573,-11.0
2018-01-04 11:00:00,18639,6695,-10.6
2018-01-04 12:00:00,18537,6706,-11.2
2018-01-04 13:00:00,18546,6736,-11.1
2018-01-04 14:00:00,18299,6663,-11.3
2018-01-04 15:00:00,18613,6658,-11.6
2018-01-04 16:00:00,19028,6770,-12.2
2018-01-04 17:00:00,19935,7091,-13.1
2018-01-04 18:00:00,19930,7164,-13.8
2018-01-04 19:00:00,19980,7128,-15.4
2018-01-04 20:00:00,19856,7032,-16.5
2018-01-04 21:00:00,19678,6857,-17.2
2018-01-04 22:00:00,18889,6586,-18.0
2018-01-04 23:00:00,17940,6215,-18.6
2018-01-05 00:00:00,17475,5890,-19.1
2018-01-05 01:00:00,16808,5639,-19.7
2018-01-05 02:00:00,16679,5559,-19.9
2018-01-05 03:00:00,16620,5492,-20.1
2018-01-05 04:00:00,16706,5509,-20.2
2018-01-05 05:00:00,17173,5670,-20.4
2018-01-05 06:00:00,18123,6093,-20.1
2018-01-05 07:00:00,19177,6558,-20.3
2018-01-05 08:00:00,19660,6781,-20.4
2018-01-05 09:00:00,19836,6884,-19.8
2018-01-05 10:00:00,19789,7026,-18.9
2018-01-05 11:00:00,19773,7103,-17.7
2018-01-05 12:00:00,19585,7092,-17.6
2018-01-05 13:00:00,19503,7062,-16.6
2018-01-05 14:00:00,19430,7002,-15.7
2018-01-05 15:00:00,19647,6962,-15.2
2018-01-05 16:00:00,20022,7007,-15.4
2018-01-05 17:00:00,20906,7253,-15.4
2018-01-05 18:00:00,20706,7234,-16.0
2018-01-05 19:00:00,20429,7162,-16.7
2018-01-05 20:00:00,20276,7071,-16.3
2018-01-05 21:00:00,19754,6871,-16.1
2018-01-05 22:00:00,18914,6583,-16.9
2018-01-05 23:00:00,18064,6173,-17.3
2018-01-06 00:00:00,17293,5844,-19.3
2018-01-06 01:00:00,16937,5609,-19.8
2018-01-06 02:00:00,16505,5437,-20.3
2018-01-06 03:00:00,16599,5366,-20.7
2018-01-06 04:00:00,16647,5350,-21.1
2018-01-06 05:00:00,16764,5412,-21.4
2018-01-06 06:00:00,17155,5575,-21.7
2018-01-06 07:00:00,17841,5789,-22.1
2018-01-06 08:00:00,18703,5959,-22.2
2018-01-06 09:00:00,19116,6191,-21.6
2018-01-06 10:00:00,19225,6359,-20.7
2018-01-06 11:00:00,19340,6457,-19.2
2018-01-06 12:00:00,19153,6475,-18.6
2018-01-06 13:00:00,18895,6438,-17.6
2018-01-06 14:00:00,18781,6391,-16.6
2018-01-06 15:00:00,19077,6384,-16.3
2018-01-06 16:00:00,19741,6493,-15.6
2018-01-06 17:00:00,20768,6919,-15.7
2018-01-06 18:00:00,20217,7094,-16.1
2018-01-06 19:00:00,19782,6968,-16.2
2018-01-06 20:00:00,19725,6673,-16.5
2018-01-06 21:00:00,19538,6516,-17.1
2018-01-06 22:00:00,18723,6254,-17.4
2018-01-06 23:00:00,17819,5954,-17.4
2018-01-07 00:00:00,17015,5689,-17.4
2018-01-07 01:00:00,16531,5499,-17.5
2018-01-07 02:00:00,16240,5344,-16.3
2018-01-07 03:00:00,16103,5256,-15.8
2018-01-07 04:00:00,16031,5203,-16.0
2018-01-07 05:00:00,16095,5219,-15.9
2018-01-07 06:00:00,16439,5319,-14.5
2018-01-07 07:00:00,16797,5455,-14.1
2018-01-07 08:00:00,17181,5621,-13.2
2018-01-07 09:00:00,17757,5888,-11.6
2018-01-07 10:00:00,18095,6095,-10.9
2018-01-07 11:00:00,18351,6286,-10.2
2018-01-07 12:00:00,18486,6387,-9.4
2018-01-07 13:00:00,18714,6394,-8.6
2018-01-07 14:00:00,18784,6375,-8.1
2018-01-07 15:00:00,18833,6379,-7.7
2018-01-07 16:00:00,19370,6530,-7.3
2018-01-07 17:00:00,20429,6862,-6.4
2018-01-07 18:00:00,19967,7084,-6.4
2018-01-07 19:00:00,19363,6952,-5.7
2018-01-07 20:00:00,18821,6487,-4.9
2018-01-07 21:00:00,18019,6233,-4.0
2018-01-07 22:00:00,17172,5939,-3.0
2018-01-07 23:00:00,16221,5575,-2.5
2018-01-08 00:00:00,15521,5259,-1.9
2018-01-08 01:00:00,15129,5074,-1.1
2018-01-08 02:00:00,14916,4983,-1.4
2018-01-08 03:00:00,14880,4950,-1.6
2018-01-08 04:00:00,14919,4981,-1.5
2018-01-08 05:00:00,15426,5144,-1.3
2018-01-08 06:00:00,16606,5549,-1.1
2018-01-08 07:00:00,17913,6118,-0.9
2018-01-08 08:00:00,18029,6306,-0.4
2018-01-08 09:00:00,18047,6414,-0.1
2018-01-08 10:00:00,18239,6559,0.3
2018-01-08 11:00:00,18177,6596,1.1
2018-01-08 12:00:00,18185,6565,1.6
2018-01-08 13:00:00,18242,6630,1.9
2018-01-08 14:00:00,18245,6632,2.5
2018-01-08 15:00:00,18103,6635,2.4
2018-01-08 16:00:00,18502,6753,2.5
2018-01-08 17:00:00,19355,6972,2.6
2018-01-08 18:00:00,19080,6917,2.7
2018-01-08 19:00:00,18840,6780,2.9
2018-01-08 20:00:00,18477,6619,2.8
2018-01-08 21:00:00,17814,6332,2.8
2018-01-08 22:00:00,16740,5919,2.5
2018-01-08 23:00:00,15681,5495,2.1
2018-01-09 00:00:00,14900,5144,1.6
2018-01-09 01:00:00,14375,4959,1.5
2018-01-09 02:00:00,14203,4866,1.5
2018-01-09 03:00:00,14134,4800,1.4
2018-01-09 04:00:00,14246,4871,1.5
2018-01-09 05:00:00,14863,5074,0.8
2018-01-09 06:00:00,16195,5527,0.6
2018-01-09 07:00:00,17635,6143,0.4
2018-01-09 08:00:00,17553,6303,0.3
2018-01-09 09:00:00,17577,6381,0.2
2018-01-09 10:00:00,17574,6471,0.3
2018-01-09 11:00:00,17652,6527,0.3
2018-01-09 12:00:00,17417,6514,0.3
2018-01-09 13:00:00,17600,6519,0.1
2018-01-09 14:00:00,17726,6478,0.4
2018-01-09 15:00:00,18005,6476,0.4
2018-01-09 16:00:00,18566,6644,0.3
2018-01-09 17:00:00,19548,6878,0.0
2018-01-09 18:00:00,19229,6858,-0.1
2018-01-09 19:00:00,19117,6743,0.0
2018-01-09 20:00:00,18712,6563,0.0
2018-01-09 21:00:00,18074,6315,-0.1
2018-01-09 22:00:00,16986,5910,-0.5
2018-01-09 23:00:00,15863,5494,-0.2
2018-01-10 00:00:00,15104,5209,-0.4
2018-01-10 01:00:00,14699,5028,-0.1
2018-01-10 02:00:00,14497,4911,-0.2
2018-01-10 03:00:00,14508,4840,-0.6
2018-01-10 04:00:00,14674,4891,-0.9
2018-01-10 05:00:00,15273,5101,-0.7
2018-01-10 06:00:00,16444,5574,-0.6
2018-01-10 07:00:00,17776,6149,-0.8
2018-01-10 08:00:00,17862,6255,-0.6
2018-01-10 09:00:00,17599,6252,0.0
2018-01-10 10:00:00,17349,6317,1.2
2018-01-10 11:00:00,17183,6358,1.0
2018-01-10 12:00:00,17097,6365,1.1
2018-01-10 13:00:00,17157,6391,1.2
2018-01-10 14:00:00,17490,6410,1.4
2018-01-10 15:00:00,17736,6493,1.3
2018-01-10 16:00:00,18085,6685,1.0
2018-01-10 17:00:00,19154,6880,1.3
2018-01-10 18:00:00,18712,6824,1.9
2018-01-10 19:00:00,18470,6689,2.5
2018-01-10 20:00:00,18085,6488,3.2
2018-01-10 21:00:00,17325,6204,4.6
2018-01-10 22:00:00,16291,5796,4.9
2018-01-10 23:00:00,15168,5359,5.3
2018-01-11 00:00:00,14338,5017,5.1
2018-01-11 01:00:00,13821,4809,5.8
2018-01-11 02:00:00,13386,4685,6.6
2018-01-11 03:00:00,13218,4636,7.3
2018-01-11 04:00:00,13289,4638,8.0
2018-01-11 05:00:00,13771,4840,8.0
2018-01-11 06:00:00,15146,5306,7.7
2018-01-11 07:00:00,16540,5829,7.5
2018-01-11 08:00:00,16828,6003,7.8
2018-01-11 09:00:00,16789,6095,8.4
2018-01-11 10:00:00,16797,6195,8.7
2018-01-11 11:00:00,16549,6206,8.9
2018-01-11 12:00:00,16459,6172,9.9
2018-01-11 13:00:00,16492,6209,10.3
2018-01-11 14:00:00,16619,6166,10.7
2018-01-11 15:00:00,16858,6166,11.2
2018-01-11 16:00:00,17375,6358,11.3
2018-01-11 17:00:00,18255,6540,10.8
2018-01-11 18:00:00,17915,6461,9.3
2018-01-11 19:00:00,17828,6380,10.3
2018-01-11 20:00:00,17481,6197,10.3
2018-01-11 21:00:00,16772,5915,9.9
2018-01-11 22:00:00,15708,5485,9.5
2018-01-11 23:00:00,14433,5077,9.5
2018-01-12 00:00:00,13692,4786,9.3
2018-01-12 01:00:00,13150,4565,9.3
2018-01-12 02:00:00,12942,4441,9.6
2018-01-12 03:00:00,12974,4374,9.8
2018-01-12 04:00:00,13082,4409,10.8
2018-01-12 05:00:00,13772,4593,10.7
2018-01-12 06:00:00,14724,5102,10.5
2018-01-12 07:00:00,16170,5683,11.2
2018-01-12 08:00:00,16875,5909,11.4
2018-01-12 09:00:00,17088,6037,7.0
2018-01-12 10:00:00,17374,6247,4.1
2018-01-12 11:00:00,17628,6309,2.9
2018-01-12 12:00:00,17643,6347,1.1
2018-01-12 13:00:00,17922,6388,-1.1
2018-01-12 14:00:00,17765,6447,-2.9
2018-01-12 15:00:00,17849,6431,-5.3
2018-01-12 16:00:00,18390,6589,-6.6
2018-01-12 17:00:00,19431,6855,-7.4
2018-01-12 18:00:00,19339,6840,-8.2
2018-01-12 19:00:00,19106,6728,-8.7
2018-01-12 20:00:00,18706,6573,-8.9
2018-01-12 21:00:00,18202,6392,-9.4
2018-01-12 22:00:00,17312,5995,-9.6
2018-01-12 23:00:00,16182,5631,-10.0
2018-01-13 00:00:00,15585,5314,-10.3
2018-01-13 01:00:00,15247,5138,-11.1
2018-01-13 02:00:00,15016,4981,-11.6
2018-01-13 03:00:00,14912,4910,-11.5
2018-01-13 04:00:00,14964,4923,-12.1
2018-01-13 05:00:00,15279,4983,-12.5
2018-01-13 06:00:00,15781,5157,-13.1
2018-01-13 07:00:00,16492,5403,-13.6
2018-01-13 08:00:00,17259,5646,-14.1
2018-01-13 09:00:00,17775,5871,-14.2
2018-01-13 10:00:00,17503,5990,-13.0
2018-01-13 11:00:00,17436,6101,-12.7
2018-01-13 12:00:00,17173,6116,-12.0
2018-01-13 13:00:00,17049,6120,-11.8
2018-01-13 14:00:00,16906,6107,-11.7
2018-01-13 15:00:00,17314,6133,-12.0
2018-01-13 16:00:00,18271,6247,-11.8
2018-01-13 17:00:00,19813,6715,-12.1
2018-01-13 18:00:00,19738,6913,-12.6
2018-01-13 19:00:00,19118,6734,-12.9
2018-01-13 20:00:00,18801,6366,-13.2
2018-01-13 21:00:00,18279,6191,-13.4
2018-01-13 22:00:00,17610,5918,-13.7
2018-01-13 23:00:00,16691,5607,-13.7
2018-01-14 00:00:00,16245,5386,-13.9
2018-01-14 01:00:00,15859,5190,-14.0
2018-01-14 02:00:00,15525,5063,-14.1
2018-01-14 03:00:00,15385,5005,-13.7
2018-01-14 04:00:00,15417,4979,-14.0
2018-01-14 05:00:00,15567,5026,-13.9
2018-01-14 06:00:00,15940,5127,-13.7
2018-01-14 07:00:00,16662,5324,-12.7
2018-01-14 08:00:00,17214,5547,-12.7
2018-01-14 09:00:00,17298,5780,-11.4
2018-01-14 10:00:00,17253,5899,-8.2
2018-01-14 11:00:00,17227,5903,-7.7
2018-01-14 12:00:00,17076,5897,-6.9
2018-01-14 13:00:00,17010,5900,-5.9
2018-01-14 14:00:00,17042,5935,-5.5
2018-01-14 15:00:00,17750,6017,-5.8
2018-01-14 16:00:00,18655,6208,-6.1
2018-01-14 17:00:00,19958,6579,-6.4
2018-01-14 18:00:00,19621,6628,-6.3
2018-01-14 19:00:00,19328,6510,-6.2
2018-01-14 20:00:00,19049,6337,-6.5
2018-01-14 21:00:00,18427,6100,-6.5
2018-01-14 22:00:00,17276,5773,-6.4
2018-01-14 23:00:00,16197,5457,-6.9
2018-01-15 00:00:00,16003,5202,-7.4
2018-01-15 01:00:00,15583,5045,-7.6
2018-01-15 02:00:00,15230,4957,-7.9
2018-01-15 03:00:00,15240,4935,-8.0
2018-01-15 04:00:00,15441,4982,-8.0
2018-01-15 05:00:00,15944,5234,-7.6
2018-01-15 06:00:00,17472,5760,-7.2
2018-01-15 07:00:00,18989,6384,-6.9
2018-01-15 08:00:00,19317,6606,-6.3
2018-01-15 09:00:00,19335,6728,-6.4
2018-01-15 10:00:00,19278,6846,-6.8
2018-01-15 11:00:00,19124,6937,-6.6
2018-01-15 12:00:00,18984,6940,-6.7
2018-01-15 13:00:00,19018,6919,-7.0
2018-01-15 14:00:00,19062,6889,-6.9
2018-01-15 15:00:00,19250,6863,-7.4
2018-01-15 16:00:00,19612,6859,-6.8
2018-01-15 17:00:00,20073,7046,-6.3
2018-01-15 18:00:00,19953,7042,-5.8
2018-01-15 19:00:00,19943,6988,-5.7
2018-01-15 20:00:00,19990,6855,-5.2
2018-01-15 21:00:00,19387,6611,-6.8
2018-01-15 22:00:00,18259,6265,-7.2
2018-01-15 23:00:00,17018,5843,-7.1
2018-01-16 00:00:00,16484,5492,-6.9
2018-01-16 01:00:00,16010,5312,-6.9
2018-01-16 02:00:00,15799,5210,-6.5
2018-01-16 03:00:00,15673,5129,-6.6
2018-01-16 04:00:00,15650,5133,-6.6
2018-01-16 05:00:00,16276,5328,-6.8
2018-01-16 06:00:00,17609,5771,-6.8
2018-01-16 07:00:00,18844,6338,-6.7
2018-01-16 08:00:00,19013,6466,-6.6
2018-01-16 09:00:00,19190,6547,-6.2
2018-01-16 10:00:00,19013,6606,-5.6
2018-01-16 11:00:00,18752,6607,-5.4
2018-01-16 12:00:00,18495,6570,-3.9
2018-01-16 13:00:00,18256,6554,-2.8
2018-01-16 14:00:00,18232,6517,-2.8
2018-01-16 15:00:00,18356,6489,-2.8
2018-01-16 16:00:00,19001,6605,-3.2
2018-01-16 17:00:00,19988,6912,-3.8
2018-01-16 18:00:00,19945,6957,-3.5
2018-01-16 19:00:00,19833,6872,-3.8
2018-01-16 20:00:00,19604,6702,-4.2
2018-01-16 21:00:00,18829,6473,-5.0
2018-01-16 22:00:00,17794,6072,-6.7
2018-01-16 23:00:00,16718,5683,-7.2
2018-01-17 00:00:00,16173,5420,-7.5
2018-01-17 01:00:00,15854,5241,-8.6
2018-01-17 02:00:00,15720,5127,-9.0
2018-01-17 03:00:00,15588,5112,-9.1
2018-01-17 04:00:00,15742,5130,-8.9
2018-01-17 05:00:00,16230,5355,-8.9
2018-01-17 06:00:00,17406,5823,-9.7
2018-01-17 07:00:00,18909,6404,-9.9
2018-01-17 08:00:00,18892,6465,-10.8
2018-01-17 09:00:00,18769,6576,-9.9
2018-01-17 10:00:00,18540,6665,-7.4
2018-01-17 11:00:00,18242,6683,-6.8
2018-01-17 12:00:00,17830,6647,-6.4
2018-01-17 13:00:00,17678,6632,-5.5
2018-01-17 14:00:00,17635,6585,-5.3
2018-01-17 15:00:00,17754,6564,-5.1
2018-01-17 16:00:00,18472,6657,-4.8
2018-01-17 17:00:00,19623,6968,-5.6
2018-01-17 18:00:00,19797,7042,-6.0
2018-01-17 19:00:00,19489,6956,-6.3
2018-01-17 20:00:00,19250,6833,-6.7
2018-01-17 21:00:00,18527,6559,-6.0
2018-01-17 22:00:00,17299,6151,-5.6
2018-01-17 23:00:00,16299,5693,-5.8
2018-01-18 00:00:00,15534,5351,-6.0
2018-01-18 01:00:00,15093,5113,-6.2
2018-01-18 02:00:00,14874,5038,-6.6
2018-01-18 03:00:00,14804,5024,-6.8
2018-01-18 04:00:00,14939,5068,-7.2
2018-01-18 05:00:00,15551,5275,-7.3
2018-01-18 06:00:00,16859,5787,-7.4
2018-01-18 07:00:00,18321,6358,-7.2
2018-01-18 08:00:00,18368,6472,-7.1
2018-01-18 09:00:00,18374,6600,-7.0
2018-01-18 10:00:00,18315,6765,-6.7
2018-01-18 11:00:00,18507,6812,-6.2
2018-01-18 12:00:00,18689,6749,-5.5
2018-01-18 13:00:00,18017,6790,-5.3
2018-01-18 14:00:00,17968,6718,-4.8
2018-01-18 15:00:00,18196,6752,-4.6
2018-01-18 16:00:00,18785,6829,-4.1
2018-01-18 17:00:00,19704,7052,-4.3
2018-01-18 18:00:00,19691,7046,-4.6
2018-01-18 19:00:00,19248,6891,-4.4
2018-01-18 20:00:00,18856,6705,-4.2
2018-01-18 21:00:00,18135,6422,-3.7
2018-01-18 22:00:00,17078,5992,-3.3
2018-01-18 23:00:00,15936,5593,-3.1
2018-01-19 00:00:00,15212,5275,-3.3
2018-01-19 01:00:00,14803,5069,-3.5
2018-01-19 02:00:00,14610,4938,-3.5
2018-01-19 03:00:00,14448,4892,-3.7
2018-01-19 04:00:00,14527,4948,-3.4
2018-01-19 05:00:00,15136,5168,-3.0
2018-01-19 06:00:00,16133,5632,-3.0
2018-01-19 07:00:00,17464,6175,-2.9
2018-01-19 08:00:00,17745,6350,-2.8
2018-01-19 09:00:00,17729,6457,-2.4
2018-01-19 10:00:00,17465,6502,-2.0
2018-01-19 11:00:00,17136,6526,-0.9
2018-01-19 12:00:00,16634,6458,-0.2
2018-01-19 13:00:00,16544,6389,0.7
2018-01-19 14:00:00,16411,6294,1.1
2018-01-19 15:00:00,16601,6260,1.1
2018-01-19 16:00:00,17224,6324,1.1
2018-01-19 17:00:00,18286,6602,1.3
2018-01-19 18:00:00,18264,6621,1.0
2018-01-19 19:00:00,18035,6494,1.0
2018-01-19 20:00:00,17743,6333,1.6
2018-01-19 21:00:00,17190,6128,2.1
2018-01-19 22:00:00,16286,5767,2.9
2018-01-19 23:00:00,15174,5345,2.9
2018-01-20 00:00:00,14479,4998,2.9
2018-01-20 01:00:00,13733,4743,2.9
2018-01-20 02:00:00,13392,4564,2.6
2018-01-20 03:00:00,13240,4496,2.3
2018-01-20 04:00:00,13251,4446,2.2
2018-01-20 05:00:00,13399,4524,2.0
2018-01-20 06:00:00,13931,4692,2.0
2018-01-20 07:00:00,14728,4934,1.9
2018-01-20 08:00:00,15388,5149,2.0
2018-01-20 09:00:00,15833,5414,2.2
2018-01-20 10:00:00,16010,5573,2.6
2018-01-20 11:00:00,15817,5621,4.0
2018-01-20 12:00:00,15341,5588,5.1
2018-01-20 13:00:00,14981,5511,6.1
2018-01-20 14:00:00,14820,5463,6.0
2018-01-20 15:00:00,15125,5458,6.2
2018-01-20 16:00:00,16030,5519,6.1
2018-01-20 17:00:00,17278,5814,5.6
2018-01-20 18:00:00,17375,5888,4.7
2018-01-20 19:00:00,16958,5764,3.8
2018-01-20 20:00:00,16523,5626,2.7
2018-01-20 21:00:00,16040,5450,2.2
2018-01-20 22:00:00,15393,5218,1.8
2018-01-20 23:00:00,14596,4937,1.4
2018-01-21 00:00:00,13896,4678,1.3
2018-01-21 01:00:00,13518,4512,1.4
2018-01-21 02:00:00,13326,4406,1.5
2018-01-21 03:00:00,13196,4336,1.3
2018-01-21 04:00:00,13284,4321,0.9
2018-01-21 05:00:00,13497,4374,0.5
2018-01-21 06:00:00,13952,4507,0.2
2018-01-21 07:00:00,14445,4694,0.2
2018-01-21 08:00:00,14955,4883,0.6
2018-01-21 09:00:00,15349,5071,1.4
2018-01-21 10:00:00,15509,5180,2.5
2018-01-21 11:00:00,15535,5291,3.0
2018-01-21 12:00:00,15594,5417,2.5
2018-01-21 13:00:00,15652,5421,3.3
2018-01-21 14:00:00,15848,5411,3.9
2018-01-21 15:00:00,16232,5497,3.6
2018-01-21 16:00:00,17052,5672,3.6
2018-01-21 17:00:00,18035,6028,3.3
2018-01-21 18:00:00,17948,6064,3.0
2018-01-21 19:00:00,17531,5936,3.0
2018-01-21 20:00:00,17149,5792,3.0
2018-01-21 21:00:00,16563,5585,3.0
2018-01-21 22:00:00,15623,5296,3.1
2018-01-21 23:00:00,14839,4977,3.1
2018-01-22 00:00:00,14194,4717,3.1
2018-01-22 01:00:00,13795,4537,2.9
2018-01-22 02:00:00,13678,4451,2.8
2018-01-22 03:00:00,13635,4443,2.6
2018-01-22 04:00:00,13788,4511,2.7
2018-01-22 05:00:00,14392,4742,2.6
2018-01-22 06:00:00,15592,5255,2.5
2018-01-22 07:00:00,17091,5897,2.3
2018-01-22 08:00:00,17471,6157,2.5
